This is a log file for AL01_192-168-0-1.log.
Generated on 2025-10-12 12:12:08.Sat Feb 18 13:03:48.478 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:03:52.521 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:03:52.531 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:03:53.486 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:03:53.496 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:03:53.506 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:03:53.516 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:03:53.526 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:03:53.537 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:03:55.464 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:03:55.474 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:03:55.484 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:03:55.494 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:03:55.504 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:03:55.515 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:03:56.572 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:03:56.582 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:03:56.593 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:03:56.603 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:03:56.613 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:03:56.623 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:03:57.684 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:03:57.695 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:03:57.705 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:03:57.715 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:03:57.725 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:03:57.735 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:03:59.474 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:03:59.485 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:03:59.495 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:03:59.505 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:03:59.515 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:03:59.525 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:04:00.481 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:04:00.491 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:04:00.501 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:00.511 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:04:00.521 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:00.531 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:04:01.594 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:04:01.604 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:04:01.615 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:01.625 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:04:01.635 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:01.645 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:04:03.471 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:04:03.481 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:04:03.491 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:03.502 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:04:03.512 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:03.522 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:04:04.481 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:04:04.491 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:04:04.501 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:04.511 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:04:04.521 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:04.532 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:04:05.484 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:04:05.494 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:04:05.504 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:05.514 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:04:05.524 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:05.534 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:04:07.463 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:04:07.474 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:04:07.484 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:07.494 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:04:07.504 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:07.514 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:04:08.570 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:04:08.580 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:04:08.591 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:08.601 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:04:08.611 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:08.621 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:04:09.681 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:04:09.692 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:04:09.702 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:09.712 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:04:09.722 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:09.733 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:04:11.469 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:04:11.479 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:04:11.489 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:11.500 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:04:11.510 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:11.520 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:04:12.480 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:04:12.491 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:04:12.501 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:12.511 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:04:12.521 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:12.531 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:04:13.502 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:04:13.512 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:04:13.522 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:13.532 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:04:13.542 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:13.552 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:04:15.481 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:04:15.491 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:04:15.501 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:15.511 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:04:15.521 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:15.531 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:04:16.593 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:04:16.603 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:04:16.613 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:16.623 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:04:16.633 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:16.644 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:04:17.701 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:04:17.712 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:04:17.722 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:17.732 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:04:17.742 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:17.752 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:04:19.471 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:04:19.481 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:04:19.491 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:19.501 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:04:19.511 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:19.522 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:04:20.489 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:04:20.499 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:04:20.510 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:20.520 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:04:20.530 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:20.540 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:04:21.513 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:04:21.523 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:04:21.534 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:21.544 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:04:21.554 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:21.564 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:04:23.464 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:04:23.474 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:04:23.484 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:23.494 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:04:23.505 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:23.515 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:04:24.571 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:04:24.581 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:04:24.591 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:24.602 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:04:24.612 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:24.622 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:04:25.591 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:04:25.601 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:04:25.611 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:25.621 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:04:25.631 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:25.642 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:04:27.470 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:04:27.481 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:04:27.491 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:27.501 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:04:27.511 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:27.521 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:04:28.481 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:04:28.491 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:04:28.501 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:28.512 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:04:28.522 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:28.532 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:04:29.490 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:04:29.500 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:04:29.510 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:29.520 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:04:29.530 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:29.541 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:04:31.466 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:04:31.476 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
Sat Feb 18 13:04:31.486 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xff, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:31.497 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0x3b, ch: COM410 /422
Sat Feb 18 13:04:31.507 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xdf, function 0xfb, ch: COM410 /422
Sat Feb 18 13:04:31.517 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x59, function 0xb9, ch: COM410 /422
Sat Feb 18 13:04:32.570 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0x00, function 0xbf, ch: COM410 /422
Sat Feb 18 13:04:32.580 2023 SMODBUS: GOT UNKNOWN MESSAGE: Addr 0xf7, function 0xff, ch: COM410 /422
